archive_page,archive_period,download_policy,file_kind,file_name,file_url,id,licence_gate,notes,source_id,source_version_id,status,structured_api_equivalence,structured_format
https://www.pbs.gov.au/info/publication/schedule/2020,2020-02-01,download_for_local_review,zip,2020-02-01-xml-V3.zip,https://www.pbs.gov.au/publication/schedule/2020/02/2020-02-01-xml-V3.zip?variant=3,au_pbs_structured_00a2f9d066af9715,public_reuse_review,Official machine-readable PBS publication package. Format and checksum evidence do not by themselves grant redistribution rights or establish cross-version field parity.,au_pbs,au_pbs_structured_2020_02_01_00a2f9d066af,planned,False,xml_zip
https://www.pbs.gov.au/info/publication/schedule/2016,2016-06-01,download_for_local_review,zip,2016-06-01-extracts.zip,https://www.pbs.gov.au/publication/schedule/2016/06/2016-06-01-extracts.zip?variant=3,au_pbs_structured_011a98fd7eaf6182,public_reuse_review,Official machine-readable PBS publication package. Format and checksum evidence do not by themselves grant redistribution rights or establish cross-version field parity.,au_pbs,au_pbs_structured_2016_06_01_011a98fd7eaf,planned,False,structured_extract_zip
https://www.pbs.gov.au/info/publication/schedule/2019,2019-10-01,download_for_local_review,zip,2019-10-01-V2-down-converted.zip,https://www.pbs.gov.au/publication/schedule/2019/10/2019-10-01-V2-down-converted.zip?variant=3,au_pbs_structured_016a7766bc044aa5,public_reuse_review,Official machine-readable PBS publication package. Format and checksum evidence do not by themselves grant redistribution rights or establish cross-version field parity.,au_pbs,au_pbs_structured_2019_10_01_016a7766bc04,planned,False,xml_zip
https://www.pbs.gov.au/info/publication/schedule/2020,2020-08-01,download_for_local_review,zip,2020-08-01-xml-V3.zip,https://www.pbs.gov.au/publication/schedule/2020/08/2020-08-01-xml-V3.zip?variant=3,au_pbs_structured_01b395764f65fd81,public_reuse_review,Official machine-readable PBS publication package. Format and checksum evidence do not by themselves grant redistribution rights or establish cross-version field parity.,au_pbs,au_pbs_structured_2020_08_01_01b395764f65,planned,False,xml_zip
https://www.pbs.gov.au/info/publication/schedule/2018,2018-09-01,download_for_local_review,zip,2018-09-01-extracts-down-converted.zip,https://www.pbs.gov.au/publication/schedule/2018/09/2018-09-01-extracts-down-converted.zip?variant=3,au_pbs_structured_0246cd33eab3396d,public_reuse_review,Official machine-readable PBS publication package. Format and checksum evidence do not by themselves grant redistribution rights or establish cross-version field parity.,au_pbs,au_pbs_structured_2018_09_01_0246cd33eab3,planned,False,structured_extract_zip
https://www.pbs.gov.au/info/publication/schedule/2013,2013-02-01,download_for_local_review,zip,2013-02-01-xml.zip,https://www.pbs.gov.au/publication/schedule/2013/02/2013-02-01-xml.zip?variant=3,au_pbs_structured_0288d49a9b5ee2d1,public_reuse_review,Official machine-readable PBS publication package. Format and checksum evidence do not by themselves grant redistribution rights or establish cross-version field parity.,au_pbs,au_pbs_structured_2013_02_01_0288d49a9b5e,planned,False,xml_zip
https://www.pbs.gov.au/info/publication/schedule/2024,2024-12-01,download_for_local_review,zip,2024-12-01-xml-V3.zip,https://www.pbs.gov.au/publication/schedule/2024/12/2024-12-01-xml-V3.zip?variant=3,au_pbs_structured_032f04500e8b2ba3,public_reuse_review,Official machine-readable PBS publication package. Format and checksum evidence do not by themselves grant redistribution rights or establish cross-version field parity.,au_pbs,au_pbs_structured_2024_12_01_032f04500e8b,planned,False,xml_zip
https://www.pbs.gov.au/info/publication/schedule/2016,2016-04-01,download_for_local_review,zip,2016-04-01-extracts.zip,https://www.pbs.gov.au/publication/schedule/2016/04/2016-04-01-extracts.zip?variant=3,au_pbs_structured_0351cae1eb4c9e67,public_reuse_review,Official machine-readable PBS publication package. Format and checksum evidence do not by themselves grant redistribution rights or establish cross-version field parity.,au_pbs,au_pbs_structured_2016_04_01_0351cae1eb4c,planned,False,structured_extract_zip
https://www.pbs.gov.au/info/publication/schedule/2009,2009-06-01,download_for_local_review,zip,2009-06-01-general-schedule-xml.zip,https://www.pbs.gov.au/publication/schedule/2009/2009-06-01-general-schedule-xml.zip?variant=3,au_pbs_structured_04e28e5c6bf1cf4f,public_reuse_review,Official machine-readable PBS publication package. Format and checksum evidence do not by themselves grant redistribution rights or establish cross-version field parity.,au_pbs,au_pbs_structured_2009_06_01_04e28e5c6bf1,planned,False,xml_zip
https://www.pbs.gov.au/info/publication/schedule/2025,2025-04-01,download_for_local_review,zip,2025-04-01-PBS-API-CSV-files.zip,https://www.pbs.gov.au/publication/schedule/2025/04/2025-04-01-PBS-API-CSV-files.zip?variant=3,au_pbs_structured_05626b764201258d,public_reuse_review,Official machine-readable PBS publication package. Format and checksum evidence do not by themselves grant redistribution rights or establish cross-version field parity.,au_pbs,au_pbs_structured_2025_04_01_05626b764201,planned,False,csv_zip
