acquisition_mode,cache_policy,expected_format,licence_gate,notes,parser_name,source_id,url,version_id
manual_fixture_then_reviewed_live_fetch,versioned-public-cache-after-licence-review,jsonl fixture,confirm Commonwealth redistribution terms before mirroring raw XML,Prototype parser fixture is synthetic and exists only to test parser output contracts before live MBS XML ingestion.,MbsXmlFixtureAdapter -> future live MBS XML adapter,au_mbs,https://www.mbsonline.gov.au/internet/mbsonline/publishing.nsf/Content/downloads,au_mbs_seed_fixture
manual_fixture_then_reviewed_live_fetch,versioned-public-cache-after-licence-review,ZIP/TXT/XLSX,licence and redistribution review required before mirroring raw data,Official July 2026 alpha-numeric HCPCS archive. Derived adapter excludes numeric CPT Level I and D-series dental descriptors; raw ZIP remains ignored.,planned source-specific adapter,us_cms_hcpcs_level_ii,https://www.cms.gov/files/zip/july-2026-alpha-numeric-hcpcs-file.zip,us_cms_hcpcs_level_ii_2026_07
manual_fixture_then_reviewed_live_fetch,versioned-public-cache-after-licence-review,jsonl fixture,avoid redistributing proprietary CPT long descriptors; store derived numeric fields only,Prototype parser fixture is synthetic and avoids proprietary CPT descriptor redistribution.,CmsClfsFixtureAdapter -> future live CMS CLFS CSV adapter,us_cms_clfs,https://www.cms.gov/medicare/payment/fee-schedules/clinical-laboratory-fee-schedule-clfs,us_cms_clfs_seed_fixture
manual_fixture_then_reviewed_live_fetch,versioned-public-cache-after-licence-review,jsonl fixture,confirm NHS publication licence and workbook redistribution status,Prototype parser fixture is synthetic and intended for coverage/test-directory schema work.,NhsGenomicDirectoryFixtureAdapter -> future live NHS workbook adapter,uk_genomic_test_directory,https://www.england.nhs.uk/publication/national-genomic-test-directories/,uk_genomic_directory_seed_fixture
manual_fixture_then_reviewed_live_fetch,versioned-public-cache-after-licence-review,HTML index,confirm Commonwealth redistribution terms before mirroring raw XML,Archive index for MBS files from 2011 to 2019; use the page to enumerate historical releases before any local mirroring.,MbsXmlFixtureAdapter -> future live MBS XML adapter,au_mbs,https://www.mbsonline.gov.au/internet/mbsonline/publishing.nsf/Content/MBSOnline-2010,au_mbs_2010_2019_downloads_page
manual_fixture_then_reviewed_live_fetch,versioned-public-cache-after-licence-review,HTML index,confirm Commonwealth redistribution terms before mirroring raw XML,Archive index for MBS files from 1989 to 2010; use the page to enumerate older historical releases before any local mirroring.,MbsXmlFixtureAdapter -> future live MBS XML adapter,au_mbs,https://www.mbsonline.gov.au/internet/mbsonline/publishing.nsf/Content/Prev-Downloads,au_mbs_1989_2010_previous_downloads_page
manual_fixture_then_reviewed_live_fetch,versioned-public-cache-after-licence-review,csv fixture,confirm PBS API terms and do not represent published prices as net confidential prices,Prototype parser fixture is synthetic and tests PBS item overview-like fields; published prices are not interpreted as confidential net prices.,PbsFixtureAdapter -> future live PBS API/CSV adapter,au_pbs,https://data.pbs.gov.au/document/91327.html,au_pbs_seed_fixture
manual_fixture_then_reviewed_live_fetch,versioned-public-cache-after-licence-review,csv fixture,CPT licence gate required; retain only permitted derived fields in public dataset,Prototype parser fixture is synthetic and avoids proprietary CPT long descriptor redistribution.,planned CMS PFS RVU/fee-schedule adapter,us_cms_pfs,https://www.cms.gov/medicare/physician-fee-schedule,us_cms_pfs_seed_fixture
manual_fixture_then_reviewed_live_fetch,versioned-public-cache-after-licence-review,csv fixture,confirm CMS public-file reuse and preserve publication metadata,Prototype parser fixture is synthetic and validates public Part B drug payment-limit fields.,planned CMS ASP drug-pricing adapter,us_cms_asp,https://www.cms.gov/medicare/payment/fee-for-service-providers/part-b-drugs/average-drug-sales-price,us_cms_asp_seed_fixture
manual_fixture_then_reviewed_live_fetch,versioned-public-cache-after-licence-review,TXT pair,confirm Commonwealth redistribution terms before mirroring raw XML,Current MBS historical item-map and descriptor files listed on the MBS downloads page; raw TXT files remain local until redistribution review.,MbsXmlFixtureAdapter -> future live MBS XML adapter,au_mbs,https://www.mbsonline.gov.au/internet/mbsonline/publishing.nsf/Content/downloads,au_mbs_20260701_txt_pair
