access_tier,component_access_tier,component_historical_versions,component_machine_readable,component_reliability,component_utilisation_data,domain,grade,jurisdiction,schedule,score,source_id,system
tier_1,4,2,3,3,2,utilisation,A,Australia,MBS and PBS utilisation and expenditure statistics,14,au_aihw_mbs_pbs_stats,AIHW/Services Australia
tier_1,4,2,3,3,2,hospital,A,Australia,IHACPA National Efficient Price / NWAU,14,au_ihacpa_nep,National Health Reform
tier_1,4,2,3,3,2,medical_services,A,Australia,Medicare Benefits Schedule,14,au_mbs,Medicare
tier_1,4,2,3,3,2,medicines,A,Australia,Pharmaceutical Benefits Schedule,14,au_pbs,PBS
tier_1,4,2,3,3,2,medicines,A,Switzerland,Specialities List,14,ch_specialities_list,FOPH
tier_1,4,2,3,3,2,hospital,A,Switzerland,SwissDRG catalogues,14,ch_swissdrg,SwissDRG
tier_1,4,2,3,3,2,hospital,A,Germany,G-DRG catalogues,14,de_gdrg,InEK
tier_1,4,2,3,3,2,hospital,A,Denmark,DRG tariffs and cost weights,14,dk_drg,Danish Health Data Authority
tier_1,4,2,3,3,2,hospital_specialist,A,Netherlands,DBC care products and tariffs,14,nl_nza_dbc,NZa
tier_1,4,2,3,3,2,medicines_devices,A,New Zealand,Pharmaceutical Schedule,14,nz_pharmac,PHARMAC
tier_1,4,2,3,3,2,contextual,A,Multi-country,Health statistics and expenditure indicators,14,oecd_health_stats,OECD
tier_1,4,2,3,3,2,hospital,A,Sweden,NordDRG weights,14,se_norddrg,Socialstyrelsen
tier_1,4,2,3,3,2,medicines,A,Sweden,Medicine price and subsidy database,14,se_tlv,TLV
tier_1,4,2,3,3,2,medical_services,A,Taiwan,Medical service payment standards,14,tw_nhi_services,National Health Insurance
tier_1,4,2,3,3,2,hospital,A,England,NHS Payment Scheme / national prices,14,uk_nhs_payment_scheme,NHS England
tier_1,4,2,3,3,2,medicines,A,United States,Average Sales Price Drug Pricing Files,14,us_cms_asp,Medicare Part B
tier_1,4,2,3,3,2,laboratory,A,United States,Clinical Laboratory Fee Schedule,14,us_cms_clfs,Medicare
tier_1,4,2,3,3,2,community_care,A,United States,Home Health Prospective Payment System,14,us_cms_home_health,Medicare
tier_1,4,2,3,3,2,palliative_end_of_life,A,United States,Hospice Payment System,14,us_cms_hospice,Medicare
tier_1,4,2,3,3,2,hospital_inpatient,A,United States,Inpatient Prospective Payment System,14,us_cms_ipps,Medicare
tier_1,4,2,3,3,2,hospital_outpatient,A,United States,Outpatient Prospective Payment System,14,us_cms_opps,Medicare
tier_1,4,2,3,3,2,medical_services,A,United States,Physician Fee Schedule,14,us_cms_pfs,Medicare
tier_1,4,2,3,3,2,post_acute,A,United States,Skilled Nursing Facility Prospective Payment System,14,us_cms_snf,Medicare
tier_1,4,2,3,3,2,contextual,A,Multi-country,Global Health Observatory,14,who_gho,WHO
tier_1,4,2,3,1,2,medical_services,A,Belgium,NomenSoft nomenclature,12,be_inami,INAMI/RIZIV
tier_1,4,2,3,1,2,medical_services,A,Brazil,"SIGTAP procedures, medicines and OPM table",12,br_sigtap,SUS
tier_1,4,2,3,3,0,genomics,A,International,Human Phenotype Ontology,12,hpo,Human Phenotype Ontology Consortium
tier_1,4,2,3,3,0,medicines,A,United States,RxNorm Current Prescribable Content,12,rxnorm,National Library of Medicine
tier_1,4,2,3,3,0,genomics,A,England,National Genomic Test Directory,12,uk_genomic_test_directory,NHS Genomic Medicine Service
tier_2,2,2,3,3,2,costs,A,England,NHS reference costs / patient-level costing outputs,12,uk_nhs_reference_costs,NHS England
tier_1,4,2,3,3,0,hospital_outpatient,A,United States,Ambulatory Surgical Center Payment System,12,us_cms_asc,Medicare
tier_1,4,2,3,3,0,devices_equipment,A,United States,DMEPOS Fee Schedule,12,us_cms_dmepos,Medicare
tier_1,4,2,3,3,0,coverage_decisions,A,United States,Medicare Coverage Database,12,us_cms_mcd,Medicare
tier_2,2,2,3,3,2,medicines,A,United States,Part D Prescriber and Drug Spending Public Use Files,12,us_cms_partd_puf,Medicare Part D
