access_mode,domain,id,licence_gate,local_only,mapping_strategy,name,notes,priority,source_url
download,multi_domain,map_omop_athena,restricted_or_licence_review,True,Use as local vocabulary spine and never commit restricted vocabulary dumps.,OMOP/OHDSI Athena vocabularies,High-value common data model bridge.,must,https://athena.ohdsi.org/
api,multi_domain,map_fhir_terminology,public_reuse_review,False,Adopt ValueSet/CodeSystem/$translate patterns for terminology adapters.,HL7 FHIR Terminology operations,Useful abstraction even where implementation is local-only.,must,https://build.fhir.org/terminology-service.html
api,diagnosis,map_icd11_api,public_reuse_review,False,Use API-backed disease and indication mappings where permitted.,WHO ICD-11 API,ICD-11 is essential for international disease comparability.,must,https://icd.who.int/icdapi
download,pathology_genomics,map_loinc_download_api,restricted_or_licence_review,True,Keep LOINC source files local/licensed; publish only derived mapping metadata if allowed.,LOINC download/API,Core pathology and genomics terminology.,must,https://loinc.org/downloads/
local_licence_only,medicines,map_rxnav_in_box,restricted_or_licence_review,True,Adapter targets a local RxNav endpoint; no RxNorm dumps in repo.,RxNav-in-a-Box/RxNorm,Medicine normalisation backbone.,must,https://lhncbc.nlm.nih.gov/RxNav/applications/RxNav-in-a-Box.html
download,phenotypes_genomics,map_hpo,public_reuse_review,False,Use HPO for phenotype/test-purpose baskets with licence review.,Human Phenotype Ontology,Critical for clinical genetics use cases.,must,https://obofoundry.org/ontology/hp.html
manual_review,medicines,map_who_atc_ddd,public_reuse_review,False,Map PBS/CMS medicines to ATC where licence permits.,WHO ATC/DDD,Drug utilisation analysis standard.,should,https://www.who.int/tools/atc-ddd-toolkit
api,multi_domain,map_bioportal,public_reuse_review,False,"Use as discovery/indexing aid, not sole authority.",NCBO BioPortal,Cross-ontology discovery and annotations.,could,https://bioportal.bioontology.org/
api,devices,map_gudid,public_reuse_review,False,Add device identifiers for prostheses/device reimbursement analyses.,FDA GUDID,Device reimbursement needs UDI-style identifiers.,should,https://accessgudid.nlm.nih.gov/
download,rare_disease,map_orphanet_mondo,public_reuse_review,False,Use rare disease disease-basket mappings.,Orphanet/MONDO rare disease mappings,Important for high-cost medicines/genomics.,should,https://mondo.monarchinitiative.org/
download,genomics,map_hgnc,public_reuse_review,False,Use for gene-panel/test-purpose normalisation.,HGNC gene symbols,Core gene nomenclature.,must,https://www.genenames.org/download/archive/
manual_review,genomics,map_clingen,public_reuse_review,False,"Use for gene-disease validity context, not as reimbursement evidence alone.",ClinGen resources,Clinical validity context for genomic tests.,should,https://clinicalgenome.org/
