check_name,evidence_path,expected_value,id,observed_value,recommended_action,severity,status,table_name
minimum_row_count,data/seed/source_registry.jsonl,>=50,source_registry_minimum_row_count,62,Add missing records or lower the expectation only through an ADR.,blocking,pass,source_registry
minimum_row_count,data/seed/analysis_catalogue.jsonl,>=20,analysis_catalogue_minimum_row_count,25,Add missing records or lower the expectation only through an ADR.,blocking,pass,analysis_catalogue
minimum_row_count,data/seed/source_files.jsonl,>=7,source_files_minimum_row_count,11,Add missing records or lower the expectation only through an ADR.,blocking,pass,source_files
minimum_row_count,data/seed/conductor_tracks.jsonl,>=8,conductor_tracks_minimum_row_count,15,Add missing records or lower the expectation only through an ADR.,blocking,pass,conductor_tracks
minimum_row_count,data/seed/roadmap_functions.jsonl,>=20,roadmap_functions_minimum_row_count,45,Add missing records or lower the expectation only through an ADR.,blocking,pass,roadmap_functions
minimum_row_count,data/seed/dataset_candidates.jsonl,>=15,dataset_candidates_minimum_row_count,15,Add missing records or lower the expectation only through an ADR.,blocking,pass,dataset_candidates
minimum_row_count,data/seed/mapping_resources.jsonl,>=12,mapping_resources_minimum_row_count,12,Add missing records or lower the expectation only through an ADR.,blocking,pass,mapping_resources
minimum_row_count,data/seed/research_questions.jsonl,>=5,research_questions_minimum_row_count,5,Add missing records or lower the expectation only through an ADR.,blocking,pass,research_questions
minimum_row_count,data/seed/output_artifact_plans.jsonl,>=10,output_artifact_plans_minimum_row_count,18,Add missing records or lower the expectation only through an ADR.,blocking,pass,output_artifact_plans
minimum_row_count,data/derived/vertical_slice/schedule_items.jsonl,>=10,vertical_schedule_items_minimum_row_count,10,Add missing records or lower the expectation only through an ADR.,blocking,pass,vertical_schedule_items
unique_id,data/seed/source_registry.jsonl,all ids unique and non-empty,source_registry_unique_id,62 ids,Rename duplicate/empty identifiers and regenerate derived outputs.,blocking,pass,source_registry
unique_id,data/seed/analysis_catalogue.jsonl,all ids unique and non-empty,analysis_catalogue_unique_id,25 ids,Rename duplicate/empty identifiers and regenerate derived outputs.,blocking,pass,analysis_catalogue
unique_id,data/seed/source_versions.jsonl,all ids unique and non-empty,source_versions_unique_id,17 ids,Rename duplicate/empty identifiers and regenerate derived outputs.,blocking,pass,source_versions
unique_id,data/seed/source_files.jsonl,all ids unique and non-empty,source_files_unique_id,11 ids,Rename duplicate/empty identifiers and regenerate derived outputs.,blocking,pass,source_files
unique_id,data/seed/conductor_tracks.jsonl,all ids unique and non-empty,conductor_tracks_unique_id,15 ids,Rename duplicate/empty identifiers and regenerate derived outputs.,blocking,pass,conductor_tracks
unique_id,data/seed/roadmap_functions.jsonl,all ids unique and non-empty,roadmap_functions_unique_id,45 ids,Rename duplicate/empty identifiers and regenerate derived outputs.,blocking,pass,roadmap_functions
unique_id,data/seed/dataset_candidates.jsonl,all ids unique and non-empty,dataset_candidates_unique_id,15 ids,Rename duplicate/empty identifiers and regenerate derived outputs.,blocking,pass,dataset_candidates
unique_id,data/seed/mapping_resources.jsonl,all ids unique and non-empty,mapping_resources_unique_id,12 ids,Rename duplicate/empty identifiers and regenerate derived outputs.,blocking,pass,mapping_resources
unique_id,data/seed/research_questions.jsonl,all ids unique and non-empty,research_questions_unique_id,5 ids,Rename duplicate/empty identifiers and regenerate derived outputs.,blocking,pass,research_questions
unique_id,data/seed/output_artifact_plans.jsonl,all ids unique and non-empty,output_artifact_plans_unique_id,18 ids,Rename duplicate/empty identifiers and regenerate derived outputs.,blocking,pass,output_artifact_plans
foreign_key,data/seed/source_files.jsonl,source_files.source_id references source_registry.id,source_files_source_id_foreign_key,11 rows checked,Add missing parent records or correct child references.,blocking,pass,source_files_source_id
foreign_key,data/seed/source_files.jsonl,source_files.source_version_id references source_versions.id,source_files_source_version_id_foreign_key,11 rows checked,Add missing parent records or correct child references.,blocking,pass,source_files_source_version_id
foreign_key,data/seed/roadmap_functions.jsonl,roadmap_functions.track_id references conductor_tracks.id,roadmap_functions_track_id_foreign_key,45 rows checked,Add missing parent records or correct child references.,blocking,pass,roadmap_functions_track_id
foreign_key,data/seed/research_questions.jsonl,research_questions.track_id references conductor_tracks.id,research_questions_track_id_foreign_key,5 rows checked,Add missing parent records or correct child references.,blocking,pass,research_questions_track_id
foreign_key,data/seed/output_artifact_plans.jsonl,output_artifact_plans.track_id references conductor_tracks.id,output_artifact_plans_track_id_foreign_key,18 rows checked,Add missing parent records or correct child references.,blocking,pass,output_artifact_plans_track_id
foreign_key,data/seed/research_questions.jsonl,research question datasets resolve to sources or dataset candidates,research_questions_required_datasets_foreign_key,11 references checked,Add dataset/source candidate rows for every required research dataset.,blocking,pass,research_questions_required_datasets
artifact_exists,data/derived/source_downloads/download_plans.jsonl,present,download_plans_artifact_exists,present,Regenerate the artefact before release.,blocking,pass,download_plans
artifact_exists,data/derived/source_validation/source_content_validation.jsonl,present,source_content_validation_artifact_exists,present,Regenerate the artefact before release.,blocking,pass,source_content_validation
artifact_exists,data/derived/source_contracts/source_contract_validation.jsonl,present,source_contract_validation_artifact_exists,present,Regenerate the artefact before release.,blocking,pass,source_contract_validation
artifact_exists,data/derived/github_project/github_project_items.jsonl,present,github_project_items_artifact_exists,present,Regenerate the artefact before release.,blocking,pass,github_project_items
artifact_exists,data/derived/final_handoff/final_handoff_tasks.jsonl,present,final_handoff_tasks_artifact_exists,present,Regenerate the artefact before release.,blocking,pass,final_handoff_tasks
artifact_exists,data/derived/protocols/protocol_status.jsonl,present,protocol_status_artifact_exists,present,Regenerate the artefact before release.,blocking,pass,protocol_status
artifact_exists,data/derived/roadmap_linkages/research_dataset_linkages.jsonl,present,research_linkages_artifact_exists,present,Regenerate the artefact before release.,blocking,pass,research_linkages
artifact_exists,data/derived/evidence_readiness/evidence_readiness.jsonl,present,evidence_readiness_artifact_exists,present,Regenerate the artefact before release.,blocking,pass,evidence_readiness
artifact_exists,data/derived/source_drift/source_drift_report.jsonl,present,source_drift_report_artifact_exists,present,Regenerate the artefact before release.,blocking,pass,source_drift_report
artifact_exists,data/derived/data_dictionary/data_dictionary.jsonl,present,data_dictionary_artifact_exists,present,Regenerate the artefact before release.,blocking,pass,data_dictionary
artifact_exists,data/derived/publication_manifest.json,present,publication_manifest_artifact_exists,present,Regenerate the artefact before release.,blocking,pass,publication_manifest
artifact_exists,data/derived/research_package/datapackage.json,present,research_package_datapackage_artifact_exists,present,Regenerate the artefact before release.,blocking,pass,research_package_datapackage
artifact_exists,data/derived/research_package/ro-crate-metadata.json,present,research_package_rocrate_artifact_exists,present,Regenerate the artefact before release.,blocking,pass,research_package_rocrate
raw_source_payload_absent,data/derived/publication_manifest.json,0,publication_manifest_raw_source_payload_absent,0,Remove raw/local/restricted artefacts from publication candidates.,blocking,pass,publication_manifest
warning_count_reviewed,data/derived/publication_manifest.json,0 preferred,publication_manifest_warning_count_reviewed,0,Review warnings and document any accepted release caveats.,advisory,pass,publication_manifest
