blocking,category,command,cwd,duration_seconds,generated_at,id,notes,return_code,status,stderr_excerpt,stdout_excerpt
True,lint,uv run --all-extras ruff check .,.,0.0,1970-01-01T00:00:00+00:00,ruff_check,Gate passed in the active runtime.,0,passed,,
True,format,uv run --all-extras ruff format --check .,.,0.0,1970-01-01T00:00:00+00:00,ruff_format_check,Gate returned a non-zero exit code.,1,failed,,"unformatted: File would be reformatted --> tests/test_medallion_contract_conformance.py:21:27 | 20 | SCHEMA_SHA256 = ""4c1ee81b026c64cf8f962d602cd64441a4a023c132346349c8b27dab0981f10e"" - FIELD_LINEAGE_V2_SHA256 = ( - ""bf31ee62a3566a8fde512748b79f644e0fab760f60924e4eb9d510d3c1ef6f8a"" - ) 21 + FIELD_LINEAGE_V2_SHA256 = ""bf31ee62a3566a8fde512748b79f644e0fab760f60924e4eb9d510d3c1ef6f8a"" 22 | ALLOWED_TRANSITIONS = { | 1 file would be reformatted, 1049 files already formatted"
True,typecheck,uv run --all-extras basedpyright,.,0.0,1970-01-01T00:00:00+00:00,basedpyright,Gate passed in the active runtime.,0,passed,,
True,test,uv run --all-extras pytest --cov=src/reimburse_atlas --cov-report=term-missing --cov-report=xml --cov-fail-under=90 -q,.,0.0,1970-01-01T00:00:00+00:00,pytest_coverage,Gate returned a non-zero exit code.,1,failed,,........................................................................ [ 11%] ........................................................................ [ 23%] ........................................................................ [ 35%] ........................................................................ [ 47%] ........................................................................ [ 59%] ............................................F........................... [ 71%] ........................................................................ [ 83%] ........................................................................ [ 95%] .......................... [100%] =================================== FAILURES =================================== __________________ test_architecture_report_for_repo_is_ready __________________ def test_architecture_report_for_repo_is_ready() -> None: report = build_architecture_report(Path(__file__).resolve().parents[2]) assert report.summary.edge_count …
True,security,uv run --all-extras bandit -q -c pyproject.toml -r src scripts,.,0.0,1970-01-01T00:00:00+00:00,bandit,Gate passed in the active runtime.,0,passed,,
True,build,uv run --all-extras python -m compileall -q src scripts tests,.,0.0,1970-01-01T00:00:00+00:00,compileall,Gate passed in the active runtime.,0,passed,,
True,data,uv run --all-extras python scripts/validate_seed_sync.py,.,0.0,1970-01-01T00:00:00+00:00,seed_sync,Gate passed in the active runtime.,0,passed,,
True,data,uv run --all-extras python scripts/check_public_data_policy.py,.,0.0,1970-01-01T00:00:00+00:00,public_data_policy,Gate passed in the active runtime.,0,passed,,
True,data,uv run --all-extras python -m reimburse_atlas.cli validate,.,0.0,1970-01-01T00:00:00+00:00,cli_validate,Gate passed in the active runtime.,0,passed,,
True,data,uv run --all-extras python scripts/make_protocol_status.py,.,0.0,1970-01-01T00:00:00+00:00,protocol_status,Research protocol completeness evidence must regenerate cleanly.,0,passed,,
True,data,uv run --all-extras python scripts/make_source_validation.py,.,0.0,1970-01-01T00:00:00+00:00,source_content_validation,Downloaded source files must be validated or explicitly skipped by licence gates.,0,passed,,
True,data,uv run --all-extras python scripts/make_source_contracts.py,.,0.0,1970-01-01T00:00:00+00:00,source_contracts,Source-specific contracts must regenerate before reviewed-source bundles.,0,passed,,
True,supply_chain,uv run --all-extras python scripts/make_github_project_export.py,.,0.0,1970-01-01T00:00:00+00:00,github_project_export,Generated GitHub Project import rows must stay in sync with issue drafts.,0,passed,,
True,data,uv run --all-extras python scripts/make_final_handoff.py,.,0.0,1970-01-01T00:00:00+00:00,final_handoff,Final environment-dependent handoff checklist must regenerate cleanly.,0,passed,,
True,data,uv run --all-extras python scripts/make_roadmap_linkages.py,.,0.0,1970-01-01T00:00:00+00:00,roadmap_linkages,"Research questions must link to datasets, mappings and output plans.",0,passed,,
True,data,uv run --all-extras python scripts/make_data_quality_report.py,.,0.0,1970-01-01T00:00:00+00:00,data_quality,Seed and derived table quality checks must regenerate cleanly.,0,passed,,
True,data,uv run --all-extras python scripts/make_data_dictionary.py,.,0.0,1970-01-01T00:00:00+00:00,data_dictionary,Public candidate artefacts must have generated data-dictionary entries.,0,passed,,
True,data,uv run --all-extras python scripts/make_licence_review_queue.py,.,0.0,1970-01-01T00:00:00+00:00,licence_review_queue,Candidate artefacts must have checksum-bound human licence review rows.,0,passed,,
True,data,uv run --all-extras python scripts/make_evidence_readiness.py,.,0.0,1970-01-01T00:00:00+00:00,evidence_readiness,Protocolled research questions must have generated evidence-readiness rows.,0,passed,,
True,data,uv run --all-extras python scripts/make_source_drift_report.py,.,0.0,1970-01-01T00:00:00+00:00,source_drift,CSV/JSONL mirror and schema drift checks must regenerate cleanly.,0,passed,,
True,supply_chain,uv run --all-extras python scripts/make_repo_automation_matrix.py,.,0.0,1970-01-01T00:00:00+00:00,repo_automation_matrix,Gate passed in the active runtime.,0,passed,,
True,architecture,uv run --all-extras python scripts/make_architecture_report.py,.,0.0,1970-01-01T00:00:00+00:00,architecture_report,Gate passed in the active runtime.,0,passed,,
True,supply_chain,uv run --all-extras python scripts/make_sbom.py,.,0.0,1970-01-01T00:00:00+00:00,sbom_generation,Gate passed in the active runtime.,0,passed,,
True,build,uv build,.,0.0,1970-01-01T00:00:00+00:00,uv_build,Gate passed in the active runtime.,0,passed,,
True,dashboard,npm ci,apps/dashboard,0.0,1970-01-01T00:00:00+00:00,npm_ci_dashboard,Gate passed in the active runtime.,0,passed,,
True,security,npm audit --omit=dev --audit-level=moderate,apps/dashboard,0.0,1970-01-01T00:00:00+00:00,npm_audit_dashboard,Gate passed in the active runtime.,0,passed,,
True,dashboard,npm run build,apps/dashboard,0.0,1970-01-01T00:00:00+00:00,dashboard_build,Gate passed in the active runtime.,0,passed,,
