acquisition_mode,auth_env_var,current_observation,expected_format,expected_record_count,file_label,file_name,file_role,id,licence_gate,notes,parser_hint,source_id,source_url,source_version_id
manual_download,,"Listed on MBS downloads page as item map, file update 28 May 2026.",TXT,,MBS 20260701 item map TXT,20260701_MBSONLINE_IMAP.TXT,primary,au_mbs_20260701_imap_txt,public_reuse_review,Manual download into [ignored-local-raw-cache]/au_mbs; do not commit raw file until reuse terms are reviewed.,parse_mbs_txt_pair item_map_path,au_mbs,https://www.mbsonline.gov.au/internet/mbsonline/publishing.nsf/650f3eec0dfb990d3ca25692100069854/1bc94358d4f276d3ca257ccf0000aa73/%24FILE/20260701_MBSONLINE_IMAP.TXT,au_mbs_20260701_txt_pair
manual_download,,"Listed on MBS downloads page as item descriptors, file update 28 May 2026.",TXT,,MBS 20260701 item descriptors TXT,20260701_MBSONLINE_DESC.TXT,supplementary,au_mbs_20260701_desc_txt,public_reuse_review,Join with item-map by MBS item code to produce derived schedule rows.,parse_mbs_txt_pair descriptor_path,au_mbs,https://www.mbsonline.gov.au/internet/mbsonline/publishing.nsf/650f3eec0dfb990d3ca25692100069854/1bc94358d4f276d3ca257ccf0000aa73/%24FILE/20260701_MBSONLINE_DESC.TXT,au_mbs_20260701_txt_pair
landing_page_review,,Archive index for MBS files from 2011 to 2019; page lists the historical downloads available in that range.,HTML metadata,,MBS 2010 to 2019 archive downloads page,MBSOnline-2010,landing_page,au_mbs_2010_2019_downloads_page,metadata_only,Use this archive index to enumerate historical MBS releases before any local mirroring.,Record archive page metadata and follow the page links to historical releases.,au_mbs,https://www.mbsonline.gov.au/internet/mbsonline/publishing.nsf/Content/MBSOnline-2010,au_mbs_2010_2019_downloads_page
landing_page_review,,Archive index for MBS files from 1989 to 2010; page lists the older historical downloads available in that range.,HTML metadata,,MBS 1989 to 2010 previous downloads page,Prev-Downloads,landing_page,au_mbs_1989_2010_previous_downloads_page,metadata_only,Use this archive index to enumerate older MBS releases before any local mirroring.,Record archive page metadata and follow the page links to older historical releases.,au_mbs,https://www.mbsonline.gov.au/internet/mbsonline/publishing.nsf/Content/Prev-Downloads,au_mbs_1989_2010_previous_downloads_page
landing_page_review,,"CMS landing page states CY 2026 Q3 release updated for July 2026 with 2,206 records.",HTML metadata,2206,CMS 26CLABQ3 file page,26CLABQ3 landing page,landing_page,us_cms_clfs_26clabq3_page,metadata_only,Metadata-only row is safe for source tracking; raw zip is separate and AMA-gated.,Record metadata and expected record count before manual AMA-gated download.,us_cms_clfs,https://www.cms.gov/medicare/payment/fee-schedules/clinical-laboratory-fee-schedule-clfs/files/26clabq3,us_cms_clfs_26clabq3_ama_zip
licence_clickthrough_manual,,CMS related link redirects through AMA licence agreement for /files/zip/26clabq3.zip.,ZIP containing CLFS file,2206,CMS 26CLABQ3 AMA-gated ZIP,26clabq3.zip,licence_gate,us_cms_clfs_26clabq3_ama_zip,restricted_or_licence_review,The repo must not automate licence acceptance or redistribute CPT descriptors.,Manual AMA licence acceptance required; parse extracted CSV/XLSX only into permitted derived fields.,us_cms_clfs,https://www.cms.gov/license/ama?file=/files/zip/26clabq3.zip,us_cms_clfs_26clabq3_ama_zip
api_rate_limited,PBS_API_SUBSCRIPTION_KEY,The official Department of Health API catalogue identifies the active v3 server and publishes a subscription key for unregistered public users; a 2026-07-16 runtime probe with that key returned HTTP 200 for /schedules. An unauthenticated 2026-07-18 probe returned HTTP 401; an existing ignored cache may be reused when the key is unavailable.,JSON or CSV,,PBS public API v3 schedule and item endpoints,pbs_v3_schedules.json,api_endpoint,au_pbs_api_v3_documentation,public_reuse_review,"Copy the current public-user Subscription-Key at runtime from the official API catalogue (do not commit or log it) and place it in PBS_API_SUBSCRIPTION_KEY. If the key is absent, retain and validate a non-empty ignored local PBS dataset instead; record local_cache_available and refresh through the API later. The public key may rotate; the catalogue is authoritative. Published price fields are not confidential net government prices, but source terms and derived-field scope still require review.","Fetch /schedules first with Accept: application/json and select a published schedule by effective_date, then fetch reviewed /items and /fees pages as JSON or CSV; use the Subscription-Key header from the environment variable and enforce the API's published rate limit. If the key is unavailable, use the existing ignored dataset only.",au_pbs,https://data-api.health.gov.au/pbs/api/v3/schedules,au_pbs_api_v3_current_month
landing_page_review,,The official PBS Downloads page lists a monthly PBS API CSV files ZIP as the non-API alternative; XML and text files are discontinued.,ZIP containing PBS API CSV endpoint files,,PBS API CSV files download page,PBS API CSV files ZIP (discover from page),landing_page,au_pbs_api_csv_download_page,public_reuse_review,"Discover the current ZIP URL from the official page at acquisition time; do not infer or hard-code a historical monthly filename. Store the ZIP only under ignored [ignored-local-raw-cache]/au_pbs/ and record page URL, download URL and checksums before review.","Inspect the official PBS Downloads page for the current PBS API CSV ZIP, download locally, validate the endpoint files and join schedule_code to the schedules metadata for effective_date.",au_pbs,https://www.pbs.gov.au/info/browse/download,au_pbs_api_v3_current_month
manual_extract,,Source-status table records July 2026 ASP payment-limit and NDC-HCPCS crosswalk files as visible.,ZIP/XLSX/CSV manual extract,,CMS ASP July 2026 payment-limit files page,July 2026 ASP payment-limit files,landing_page,us_cms_asp_july_2026_payment_limit_page,public_reuse_review,"Treat as payment-limit evidence only, not coverage evidence.",parse_cms_asp_csv after manual extract of payment-limit table.,us_cms_asp,https://www.cms.gov/medicare/payment/part-b-drugs/asp-pricing-files,us_cms_asp_july_2026_payment_limit
manual_extract,,Source-status table records 2026 RVU26A/RVU26B/RVU26C as visible.,ZIP/XLSX manual extract,,CMS PFS RVU26C relative value files page,RVU26C relative value files,landing_page,us_cms_pfs_rvu26c_page,restricted_or_licence_review,Payment calculations require conversion factor and locality adjustments beyond RVUs.,parse_cms_pfs_csv after manual extract; avoid CPT descriptor redistribution.,us_cms_pfs,https://www.cms.gov/medicare/payment/fee-schedules/physician/pfs-relative-value-files,us_cms_pfs_rvu26c
