deliverables,depends_on,github_project_status,goal,id,notes,phase,priority,title,workstream
"[""Mojo kernel smoke tests"", ""Python 3.14 CI matrix"", ""runtime target table"", ""fallback policy for current sandbox""]",[],ready_for_issue_sync,Make Mojo the explicit performance-kernel layer while targeting Python 3.14 for orchestration and packaging once CI can install it.,track_runtime_mojo_python314,"Stable orchestration remains typed Python, but performance-critical tokenisation, fuzzy matching and vector prefilters are tracked as Mojo kernels.",hardening,must,Mojo-first runtime and Python 3.14 compatibility,runtime
"[""source downloader"", ""download attempt log"", ""MBS pair bundle"", ""CMS CLFS safe parser"", ""PBS API extract""]","[""track_runtime_mojo_python314""]",ready_for_issue_sync,"Download or API-fetch public sources using curl/wget/API clients, snapshot them locally, and publish derived-only validated records.",track_live_source_ingestion,Raw source files remain ignored and local-only unless licence review explicitly permits redistribution.,implementation,must,Evidence-grade live source ingestion,data
"[""protocol templates"", ""research question reports"", ""governance checklist""]",[],ready_for_issue_sync,"Treat each policy question as a protocolled, reviewable research output with destination-neutral reports and appendices.",track_research_protocols_osf,Legacy track identifier retained for referential integrity; OSF is deprecated and GitHub/Hugging Face/Zenodo carry active repository and publication roles.,design,must,Research protocol and report workflow,research
"[""dataset card"", ""Space README"", ""conditional publish workflow"", ""static dashboard bundle""]","[""track_live_source_ingestion""]",ready_for_issue_sync,Package licence-safe derived data for Hugging Face Datasets and deploy the static dashboard to Hugging Face Spaces.,track_publication_hf_spaces,"Publication is blocked until licence gates, source redaction and release readiness pass.",implementation,must,Hugging Face dataset and Spaces publication,publication
"[""datapackage.json"", ""ro-crate-metadata.json"", ""DCAT JSON-LD"", ""Zenodo metadata""]","[""track_publication_hf_spaces""]",ready_for_issue_sync,"Emit Frictionless Data Package, RO-Crate, DCAT and citation metadata for release candidates.",track_data_packaging_standards,"These outputs support reproducibility, discovery and archival release.",implementation,should,Research-data packaging standards,publication
"[""review UI tables"", ""gold-standard fixtures"", ""negative controls"", ""mapping confidence calibration""]","[""track_live_source_ingestion""]",ready_for_issue_sync,"Move from deterministic candidate crosswalks to adjudicated mapping evidence with gold standards, negative controls and reviewer state.",track_mapping_workbench,No high-impact policy output should rely on unreviewed automatic crosswalks.,implementation,must,Human-in-the-loop mapping workbench,mappings
"[""SHA-pinned actions"", ""blocking workflow security"", ""pip-audit network CI"", ""branch protection as code""]",[],ready_for_issue_sync,"Make release gates enforceable through GitHub Actions, action SHA pinning, SBOMs, attestations, Scorecard, CodeQL, dependency review and zizmór.",track_ci_cd_supply_chain,"Current sandbox cannot resolve all network gates, so the repo records blocked states explicitly.",hardening,must,CI/CD and supply-chain hardening,automation
"[""protocolled analyses"", ""reproducible notebooks/scripts"", ""policy briefs"", ""dashboard views""]","[""track_live_source_ingestion"", ""track_mapping_workbench"", ""track_research_protocols_osf""]",ready_for_issue_sync,"Produce publishable demonstrations for genomics/pathology, cognitive-procedural relativities, medicine price opacity and coverage discretion.",track_policy_demonstrators,Demonstrators should prioritise policy architecture and uncertainty over simplistic price league tables.,analysis,must,First policy demonstrators,analytics
"[""source-content validation rows"", ""data-quality checks"", ""research linkage matrix"", ""release-readiness gates"", ""evidence-readiness matrix"", ""source/schema drift report"", ""public artefact data dictionary""]","[""track_live_source_ingestion"", ""track_research_protocols_osf""]",ready_for_issue_sync,"Make downloaded source validation, table-level data-quality checks and research-question linkages explicit release gates before policy outputs are trusted.",track_data_quality_evidence,"This track closes the gap between acquisition plumbing and evidence-grade policy outputs; v17 adds evidence-readiness, data dictionary and source/schema drift gates.",hardening,must,"Data quality, source validation and evidence readiness",data_quality
"[""validated CITATION.cff"", ""current-state README"", ""public static dashboard"", ""executive readiness overview"", ""search and provenance drill-down"", ""WCAG and Lighthouse gates"", ""visual regression tests"", ""machine-readable public status"", ""versioned DOI release""]","[""track_live_source_ingestion"", ""track_publication_hf_spaces"", ""track_data_packaging_standards"", ""track_data_quality_evidence"", ""track_ci_cd_supply_chain""]",ready_for_issue_sync,"Present the atlas as a current, citable and accessible public product with a deployed dashboard, trustworthy status reporting and release-grade scholarly metadata.",track_public_product_citation_dashboard,"Public presentation must distinguish software readiness from research, evidence and publication readiness; dashboard deployment must expose only dashboard-safe derived artefacts.",implementation,must,"Public product, citation and dashboard maturity",dashboard
"[""historical local archive"", ""per-target checksums"", ""academic citation metadata"", ""licence review queue"", ""BPMN 2.0 transformation process""]","[""track_live_source_ingestion"", ""track_data_quality_evidence"", ""track_data_packaging_standards""]",ready_for_issue_sync,"Archive all discoverable historical source payloads locally, bind each to provenance/licence/citation metadata, and describe transformations in BPMN 2.0 without publishing unreviewed raw data.",track_historical_source_archival_reproducibility,"Local download does not grant redistribution rights; source-specific licence, methods and evidence review remain required.",implementation,must,Historical source archival and academic reproducibility,data
"[""historical OSF metadata"", ""protocol/source/output crosswalk"", ""frozen source cutoff"", ""registration decision record""]","[""track_research_protocols_osf"", ""track_data_quality_evidence""]",ready_for_issue_sync,Preserve the completed immutable OSF registration and its drift disclosure as historical provenance.,track_osf_registration_record_quality,OSF is deprecated as an active destination; this completed legacy track is evidence only.,research,could,Historical OSF registration evidence,research
"[""stratified mapping pack"", ""adjudication ledger"", ""holdout evaluation"", ""source-rights records"", ""dashboard review"", ""regenerated evidence handoff""]","[""track_mapping_workbench"", ""track_data_quality_evidence"", ""track_public_product_citation_dashboard""]",ready_for_issue_sync,"Close the mapping, source-licence, dashboard and research-methods review gates with explicit accountable-review evidence while preserving fail-closed evidence claims.",track_evidence_adjudication_review,Accountable human review remains required for evidence claims and licence decisions.,hardening,must,Evidence adjudication and accountable-review closure,evidence
"[""historical target reconciliation"", ""licence decision matrices"", ""BPMN 2.0 lineage"", ""source contracts"", ""deterministic package manifests""]","[""track_live_source_ingestion"", ""track_historical_source_archival_reproducibility"", ""track_data_packaging_standards""]",ready_for_issue_sync,"Make every historical and live source release citable and reproducible through source-specific licence decisions, transformation lineage, checksums and release-safe derived outputs.",track_source_provenance_licence_release,Raw and licence-gated source payloads remain local-only unless separately reviewed and permitted.,implementation,must,"Source provenance, licensing and historical release reproducibility",data
"[""README/CITATION parity"", ""dashboard review evidence"", ""OSF/HF/GitHub parity"", ""SBOM and provenance inputs"", ""publication boundary review""]","[""track_public_product_citation_dashboard"", ""track_publication_hf_spaces"", ""track_data_packaging_standards"", ""track_ci_cd_supply_chain""]",ready_for_issue_sync,"Bring the repository, OSF record, dashboard and release archive to a coherent citable state without claiming evidence readiness or publishing papers prematurely.",track_release_record_archive_maturity,Final publication review is required before any paper or preprint submission.,release,must,"Citation, archive and public record maturity",publication
"[""Zenodo receipt"", ""Hugging Face dataset and Space receipt"", ""final handoff bundle""]","[""track_release_record_archive_maturity"", ""track_publication_hf_spaces""]",ready_for_issue_sync,"Execute approved Hugging Face and Zenodo release actions only from frozen checksum-bound artefacts, record remote state, and permanently exclude papers and preprints.",track_external_publication_archive_execution,OSF is deprecated; Hugging Face and Zenodo remote state must be recorded with redacted receipts.,release,must,External publication and archive execution,publication
"[""current-head dashboard evidence"", ""rights-cleared mapping counterpart frame"", ""blinded holdout evaluation"", ""external publication gate reconciliation"", ""final handoff update""]","[""track_evidence_adjudication_review"", ""track_release_record_archive_maturity"", ""track_external_publication_archive_execution""]",ready_for_issue_sync,"Reconcile current dashboard evidence, evidence readiness and external publication state in dependency order, then close only gates supported by current checksum-bound evidence.",track_release_gate_reconciliation_closeout,"Dashboard approval, mapping counterpart acquisition and holdout evaluation remain upstream gates for Hugging Face publication; Zenodo deposition 21759294 is published and must only be verified.",release,must,Release gate reconciliation and external dependency closeout,governance
"[""risk-tiered approval policy"", ""automatic project-output classification"", ""standing dashboard approval validator"", ""approval regression tests""]","[""track_ci_cd_supply_chain"", ""track_public_product_citation_dashboard""]",ready_for_issue_sync,Reserve accountable approval for high-risk changes while automatically validating deterministic project outputs and unchanged bounded dashboard scope.,track_approval_friction_reduction_20260820,"Material source-rights, research-claim, interface-scope and external-publication changes remain fail-closed.",hardening,must,Risk-tiered approval friction reduction,governance
"[""destination-neutral protocol readiness"", ""retired OSF workflows"", ""historical registration evidence"", ""regenerated release and handoff outputs""]","[""track_research_protocols_osf"", ""track_release_record_archive_maturity""]",ready_for_issue_sync,Retire OSF as an active registration and publication destination while preserving immutable historical provenance.,track_osf_deprecation_20260820,"No active release, dashboard, Hugging Face, Zenodo or handoff gate depends on OSF.",hardening,must,OSF destination deprecation,governance
"[""MCP 2 public API adapter"", ""strict typing parity"", ""MCP behavior tests"", ""regenerated dependency evidence""]","[""track_runtime_mojo_python314"", ""track_ci_cd_supply_chain""]",blocked_upstream_compatibility,"Migrate the optional MCP server to MCP Python SDK 2.x without weakening typing, behavior contracts, security, or deterministic evidence gates.",track_mcp2_typed_migration_20260824,MCP remains on 1.29.0 until issue #731 replaces removed FastMCP APIs and passes strict typing and runtime gates.,hardening,should,MCP 2 typed API migration,runtime
